componentName,timeDifference
/,23.473
Are you sure you are not buying this just because you saw it on social media?,3.656
/product/Women/false/19012,9.609
/,27.913
Will you wear this item more than once a month?,4.422
/,14.595
Does this item fit in your budget?,9.249
/product/Women/true/46087,11.824
/,11.716
/product/Women/true/18964,5.639
/,7.725
Is this item produced sustainably?,1.193
/,10.446
Will this purchase bring you long-term satisfaction?,1.2349999999999999
/,8.434
Are you sure you are not buying this just because you saw it on social media?,1.156
/,19.964
Will you wear this item more than once a month?,1.237
/cart,6.9719999999999995
